,ticker,currentPrice,beta,marketCap,volume,dividendYield,sector
292,MKTX,207.4175,0.844,7778508800,155089,1.45,Financial Services
293,MAR,265.01,1.411,72585183232,776350,0.99,Consumer Cyclical
294,MMC,199.79,0.796,98221555712,1120605,1.79,Financial Services
295,MLM,569.42,0.872,34327711744,255965,0.55,Communication Services
296,MAS,68.07,1.187,14358821888,2820191,1.89,Industrials
297,MA,574.435,1.025,521634086912,2044361,0.54,Financial Services
298,MTCH,34.27,1.362,8403860480,2162193,2.22,Communication Services
299,MKC,70.985,0.685,19049250816,803872,2.52,Consumer Defensive
300,MCD,301.695,0.527,215721885696,1225660,2.33,Consumer Cyclical
301,MCK,706.6,0.48,88257167360,352137,0.4,Healthcare
302,MDT,91.26,0.82,116927791104,2904752,3.1,Healthcare
303,MRK,79.455,0.4,199513899008,6987550,3.96,Healthcare
304,META,776.505,1.284,1952389922816,28975848,0.3,Communication Services
305,MET,76.195,0.832,51149549568,1972220,3.04,Financial Services
306,MTD,1256.32,1.374,26109845504,151004,0.0,Healthcare
307,MCHP,67.66,1.506,36514414592,3341700,2.59,Technology
308,MU,109.095,1.349,122091487232,17285575,0.4,Technology
309,MSFT,534.77,1.033,3974699679744,33757696,0.65,Technology
310,MAA,144.44,0.751,17349844992,755897,4.07,Real Estate
311,MRNA,30.09,1.847,11637067776,7511533,0.0,Healthcare
312,MHK,114.74,1.186,7129014272,318317,0.0,Consumer Cyclical
313,MOH,157.81,0.554,8553302016,612866,0.0,Healthcare
314,TAP,48.8,0.687,9879901184,1053663,3.81,Consumer Defensive
315,MDLZ,65.145,0.491,84294369280,5555337,3.07,Consumer Defensive
316,MPWR,719.705,1.202,34459475968,570351,0.85,Technology
317,MNST,60.03,0.589,58544017408,2977564,0.0,Consumer Defensive
318,MCO,514.815,1.378,92336709632,356301,0.73,Financial Services
319,MS,142.75,1.3,228114497536,2525045,2.76,Financial Services
320,MOS,35.85,1.131,11372731392,1293526,2.43,Communication Services
321,MSI,440.92,0.955,73596608512,483004,1.0,Technology
322,MSCI,569.345,1.315,44047486976,438671,1.29,Financial Services
323,NDAQ,96.5833,1.018,55419015168,1360628,1.13,Financial Services
324,NTAP,105.27,1.415,21064421376,362729,1.99,Technology
325,NFLX,1171.795,1.596,497926209536,1648462,0.0,Communication Services
326,NEM,61.9952,0.348,68098629632,4665998,1.6,Communication Services
327,NWSA,29.355,1.244,17384118272,1057118,0.68,Communication Services
328,NWS,33.51,1.244,17346383872,382825,0.6,Communication Services
329,NEE,70.74,0.66,145674174464,3547701,3.19,Utilities
